Frame,FPS
0,1.2211128323717597
1,11.423454241405794
2,22.422238853843687
3,43.88586734747261
4,27.848035375197526
5,19.47975998067956
6,32.02712257847756
7,18.499521446686515
8,45.39781361619223
9,26.251480215804825
10,23.021466482976656
11,24.995405326484033
12,27.367780917021733
13,47.73903641061246
14,30.806945382965598
15,29.545258590326988
16,19.50884439173004
17,9.70124460213671
18,25.419870182604953
19,30.792922692900667
20,18.673136939768582
21,24.372735196699402
22,29.61138056408627
23,33.120683528510625
24,27.83288209375166
25,26.373133296025454
26,27.03090218925416
27,30.40121770014134
28,32.38919820536383
29,39.13254091172025
30,31.099557341677357
31,26.293774331262497
32,22.182343203778235
33,26.129804757098892
34,29.12043767747669
35,44.23951312639095
36,25.665479555996132
37,29.45748498788496
38,29.202551034617205
39,45.54768368698825
40,27.956435379590747
41,18.966221410290036
42,31.624335552556378
43,26.631008844612914
44,45.41305124568261
45,20.421268909240514
46,47.11271861345435
47,28.181466351322296
48,20.232234163659868
49,47.2698831299095
50,33.16232071980898
51,22.253901047884334
52,24.269081440763777
53,27.016972952778474
54,26.634729322114623
55,48.33372513770772
56,20.641056682512968
57,49.08661509473709
58,21.996444323241434
59,45.05789207945256
60,24.257571989566646
61,29.225340728559882
62,27.181553656023382
63,40.4586134717225
64,32.38069651280389
65,28.974792238026485
66,21.28105291464349
67,32.42901544789621
68,29.332848450940624
69,30.331086749009284
70,43.50125495239478
71,19.776243823318623
72,27.90584290295538
73,18.414646353777933
74,20.857948470577703
75,25.565047786229766
76,29.26490001535005
77,28.511539062871748
78,30.669757306755777
79,35.45151338421618
80,23.375321150513006
81,28.969388882749474
82,40.39004285232799
83,33.91200012936402
84,30.329990093210593
85,24.08470955738797
86,27.554224149257653
87,45.77185573198014
88,20.582005545059744
89,26.870200839232517
90,44.998916413651045
91,21.470054669424027
92,27.403363430856277
93,26.734383764213963
94,28.455444066784715
95,49.13376676623909
96,26.10752233045968
97,25.441148104790038
98,38.0933282473253
99,20.754942178368722
100,47.00764351198081
101,26.24720901126408
102,24.341334323784764
103,38.94360364710033
104,20.446754057123915
105,39.072027424823936
106,24.304520405857232
107,27.209943819495802
108,25.98846280151929
109,43.57446808510638
110,26.33951268525496
111,28.466065805190574
112,49.02579687445209
113,28.346403903599477
114,21.946033623030676
115,25.31263729631865
116,29.785917693427546
117,29.469075170906844
118,31.35201560759749
119,46.87368268123959
120,21.979384684717733
121,24.097439904398584
122,47.18851536834526
123,23.86001319771543
124,16.52250506196475
125,35.327297076486396
126,37.835947859816876
127,27.490653593057704
128,27.547709121479613
129,19.449138670561776
130,46.31161460576148
131,19.28459964596887
132,46.358706825089804
133,23.418521289544504
134,48.35601466485277
135,19.911435190459915
136,30.205271496471266
137,30.4387241917341
138,48.02381552130802
139,19.94457389038412
140,33.733896328467445
141,32.88489552706888
142,50.863476510392665
143,22.255908478281633
